player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,news,influence_rank,creativity_rank,threat_rank,ict_index_rank
Erling Haaland,Man City,FWD,14.2,37,13,9.2,35.9,5,0,338,2,4,0,0,0,0,0,0,9,168.6,28.8,252.0,45.0,8.0,2,0.6,2.6,1535358,497798,287200,34975,0.2,-0.2,0.1,-0.1,5.66,0.31,5.97,5.18,4,,1,130,1,1
Antoine Semenyo,Bournemouth,MID,7.5,36,13,9.0,40.6,3,2,360,2,5,0,0,0,0,1,0,6,161.4,85.4,136.0,38.3,7.0,2,0.9,4.8,3970611,384731,627728,24799,0.5,-0.5,0.1,-0.1,2.67,0.21,2.88,3.48,4,,2,25,3,2
Jurriën J.Timber,Arsenal,DEF,5.7,34,8,8.5,11.8,2,1,262,2,1,0,0,0,0,1,0,5,129.2,54.2,121.0,30.5,11.3,1,2.0,6.0,1086890,198471,182484,30947,0.2,-0.2,0.0,0.0,1.2,0.12,1.32,1.55,3,,7,68,5,8
Riccardo Calafiori,Arsenal,DEF,5.7,33,5,8.2,13.7,1,2,291,3,1,0,0,0,0,2,0,3,89.4,38.0,70.0,19.7,6.7,2,1.2,5.8,1346652,212617,107745,43248,0.2,-0.2,0.0,0.0,1.43,0.04,1.47,1.66,4,,48,98,36,43
João Pedro João Pedro,Chelsea,FWD,7.8,33,7,8.2,66.8,2,3,330,2,2,0,0,0,0,0,0,8,146.6,68.2,120.0,33.2,10.3,2,1.3,4.2,2148233,693225,204479,55543,0.3,-0.3,0.1,-0.1,1.5,0.17,1.67,3.06,4,,4,49,6,6
Trevoh Chalobah,Chelsea,DEF,5.1,30,3,7.5,8.5,1,1,338,2,3,0,0,0,0,0,0,2,123.0,32.0,59.0,21.4,8.0,1,1.6,5.9,887509,162382,91554,39466,0.1,-0.1,0.0,0.0,0.55,0.54,1.09,3.4,4,,10,110,49,32
Guglielmo Vicario,Spurs,GKP,5.1,29,8,7.2,10.6,0,0,360,3,1,0,0,0,17,0,0,5,137.0,0.1,0.0,13.7,6.7,0,1.3,5.7,752704,213408,139755,21631,0.1,-0.1,0.1,-0.1,0.0,0.01,0.01,4.68,4,,6,366,680,86
Marc Guéhi,Crystal Palace,DEF,4.7,29,6,7.2,21.8,1,0,360,3,1,0,0,0,0,0,0,3,96.2,25.1,27.0,14.9,7.7,1,1.6,6.2,1312945,265733,274615,18520,0.2,-0.2,0.1,-0.1,0.19,0.03,0.22,4.02,4,,30,150,121,77
Enzo Enzo,Chelsea,MID,6.6,29,4,7.2,13.2,2,2,348,2,3,0,0,0,0,0,0,1,121.6,95.2,80.0,29.7,8.7,1,1.3,4.4,1204588,249719,162774,64539,0.1,-0.1,0.0,0.0,1.93,0.42,2.35,3.79,4,,13,17,25,9
Moisés Caicedo,Chelsea,MID,5.6,29,12,7.2,8.8,2,0,360,2,3,0,0,0,0,1,0,4,159.8,28.3,31.0,21.9,8.0,1,1.4,5.2,502524,211418,216217,21108,0.1,-0.1,0.1,-0.1,0.41,0.16,0.57,3.84,4,,3,131,107,27
